經號 , 冊數 , 卷數 , 經名 , 作譯者
=======================================================
A1057 , 091 , 2 , 新譯大方廣佛華嚴經音義 , 唐 慧菀述
A1267 , 097-098 , 17 , 大唐開元釋教廣品歷章 , 唐 玄逸撰
A1490 , 110 , 2 , 天聖釋教總錄 , 宋 惟淨等編修
A1493 , 111-112 , 16 , 大中祥符法寶錄 , 宋 楊億等編修
A1494 , 112 , 14 , 景祐新修法寶錄 , 宋 呂夷簡等編修
A1504 , 114 , 3 , 佛說大乘僧伽吒法義經 , 宋 金總持等譯
A1505 , 114 , 2 , 佛說清淨毘奈耶最上大乘經 , 宋 智吉祥等譯
A1548 , 119 , 1 , 因明論理門十四過類疏 , 唐 窺基撰
A1561 , 120-121 , 23 , 瑜伽師地論義演 , 唐 清素．澄淨述
Ba001 , 00 , 1 , 出版說明 , 藍吉富
Ba002 , 00 , 1 , 全書內容簡介 , 藍吉富
B0001 , 01-02 , 20 , 均如大師華嚴學全書 , 均如著　金知見編
Ba003 , 03 , 1 , 編輯說明 , 藍吉富
B0002 , 03-05 , 120 , 華嚴經疏論纂要 , 道霈編
Ba004 , 06 , 1 , 編輯說明 , 藍吉富
B0003 , 06 , 2 , 南傳長部經典 , 江鍊百譯
B0004 , 06 , 1 , 南傳中部經典 , 芝峯譯
B0005 , 06 , 2 , 南傳小部經典 , 夏丏尊譯
B0006 , 06 , 1 , 泰國大藏經小部經 , 黃謹良譯
B0007 , 06 , 1 , 發趣論 , 范寄東譯
B0008 , 06 , 1 , 大發趣論註 , 覺音造　范寄東譯
B0009 , 06 , 30 , 冠導阿毗達磨俱舍論 , 佐伯旭雅編
Ba005 , 07 , 1 , 編輯說明 , 藍吉富
B0010 , 07 , 1 , 南傳轉法輪經 , 丘哌博譯
B0011 , 07 , 1 , 轉法輪經 , 岫廬譯
B0012 , 07 , 1 , 三寶經 , 法舫譯
B0013 , 07 , 1 , 吉祥經 , 法舫譯
B0014 , 07 , 1 , 婆羅門正法經 , 法舫譯
B0015 , 07 , 1 , 南傳羯臘摩經 , 丘寶光．徐鄂雲同譯
B0016 , 07 , 1 , 南傳大悲經 , 法舫譯
B0017 , 07 , 1 , 南傳法句經 , 了參譯
B0018 , 07 , 1 , 南傳大般湼槃經 , 巴宙譯
B0019 , 07 , 1 , 南傳念安般經 , 湯用彤譯
B0020 , 07 , 1 , 隨念三寶經淺說 , 法尊口述　雲根記
B0021 , 07 , 1 , 毒語心經 , 白隱慧鶴註釋　南天棒鄧州提唱
B0022 , 07 , 1 , 新譯薄伽梵母智慧到彼岸心經詮釋 , 貢噶呼圖克圖譯
B0023 , 07 , 5 , 金剛般若波羅蜜經講義 , 江味農著
B0024 , 07 , 1 , 佛說阿彌陀經註釋會要 , 鳩摩羅什譯　徐珂輯
B0025 , 07 , 1 , 阿毗達摩攝義論 , 阿耨樓陀造　法舫譯
Ba006 , 08 , 1 , 編輯說明 , 藍吉富
B0026 , 08 , 2 , 四分比丘尼戒本註解 , 佛瑩編
B0027 , 08 , 2 , 瑜伽師地論戒品纂釋 , 宗喀巴釋論　湯薌銘譯纂
B0028 , 08 , 1 , 菩提正道菩薩戒論 , 宗喀巴造　湯薌銘譯
B0029 , 08 , 5 , 菩薩戒品釋 , 宗喀巴造　法尊譯
Ba007 , 09 , 1 , 編輯說明 , 藍吉富
B0030 , 09 , 1 , 現觀莊嚴論中八品七十義略解 , 法尊述
B0031 , 09 , 4 , 現觀莊嚴論略釋 , 彌勒造頌　法尊譯釋
B0032 , 09 , 1 , 七十空性論科攝 , 龍樹造　法尊譯　弘悲科攝
B0033 , 09 , 1 , 大乘修心七義論釋 , 無著賢造　慧海等譯
B0034 , 09 , 1 , 辨法法性論 , 彌勒造　法尊譯
B0035 , 09 , 1 , 西藏傳本攝大乘論 , 無著造　呂澂譯
B0036 , 09 , 1 , 三自性論 , 世親造　劉孝蘭譯
B0037 , 09 , 1 , 集量論釋略抄 , 呂澂輯
B0038 , 09 , 1 , 安慧三十唯識釋略抄 , 呂澂輯
B0039 , 09 , 1 , 觀所緣釋論會譯 , 呂澂．印滄編
B0040 , 09 , 6 , 集量論略解 , 陳那著　法尊譯編
B0041 , 09 , 1 , 正理滴論（譯自梵文本） , 法稱著　王森譯
B0042 , 09 , 1 , 正理滴論（譯自西藏文本） , 法稱著　楊化群譯
B0043 , 09 , 9 , 釋量論略解 , 法稱著　僧成釋　法尊譯
B0044 , 09 , 14 , 入中論善顯密意疏 , 宗喀巴造　法尊譯
B0045 , 09 , 1 , 入中論講記 , 月稱造頌　法尊譯講
B0046 , 09 , 1 , 中論略義 , 宗喀巴著　潭影譯
B0047 , 09 , 1 , 中論文句釋 , 僧成釋　常浩譯
Ba008 , 10 , 1 , 編輯說明 , 藍吉富
